"237","237","","FLYING BIRDS","NEOGNATHAE","","","","",""
"238","238","","WATERFOWL &amp; LANDFOWL","GALLOANSERES","","","","",""
"239","239","","","ORDER ANSERIFORMES","","","PHY","Landfowl (Galliformes) and Waterfowl (Anseriformes) together (Galloanseres) are sister to all other extant non-paleognath birds (Neoaves). Within Galloanseres, resequence Anseriformes to precede Galliformes to follow standard sequencing protocol. ",""
"240","240","3","Screamers","Family Anhimidae","","","","",""
"241","241","","","Anhima","Brisson, 1760","","","",""
"242","242","","Horned Screamer","Anhima cornuta","(Linnaeus, 1766)","SA : Colombia and Venezuela through Amazonia to Bolivia","","",""
"243","243","","","Chauna","Illiger, 1811","","","",""
"244","244","","Northern Screamer","Chauna chavaria","(Linnaeus, 1766)","SA : n Colombia and nw Venezuela","","",""
"245","245","","Southern Screamer","Chauna torquata","(Oken, 1816)","SA : se Peru and s Brazil to c Argentina","","",""
"246","246","","","","","","","",""
"247","247","1","Magpie Goose","Family Anseranatidae","","","","",""
"248","248","","","Anseranas","Lesson, R, 1828","","","",""
"249","249","","Magpie Goose","Anseranas semipalmata","(Latham, 1798)","AU : New Guinea and n Australia","","",""
"250","250","","","","","","","",""
"251","251","174","Ducks, Geese, Swans","Family Anatidae","","","","",""
"252","252","","","Dendrocygna","Swainson, 1837","","","",""
"253","253","","White-faced Whistling Duck","Dendrocygna viduata","(Linnaeus, 1766)","AF, SA : widespread","","",""
"254","254","","Black-bellied Whistling Duck","Dendrocygna autumnalis","(Linnaeus, 1758)","NA, MA, SA : se Texas to n Argentina","","",""
"255","255","","","    D. a. fulgens","Friedmann, 1947","se Texas to Panama","","",""
"256","256","","","    D. a. autumnalis","(Linnaeus, 1758)","Panama to Ecuador and n Argentina","","",""
"257","257","","Spotted Whistling Duck","Dendrocygna guttata","Schlegel, 1866","OR, AU : Philippines to New Guinea","","",""
"258","258","","West Indian Whistling Duck","Dendrocygna arborea","(Linnaeus, 1758)","NA : West Indies","","",""
"259","259","","Fulvous Whistling Duck","Dendrocygna bicolor","(Vieillot, 1816)","NA, MA, SA, AF, OR : widespread","","",""
"260","260","","Plumed Whistling Duck","Dendrocygna eytoni","(Eyton, 1838)","AU : Australia","","",""
"261","261","","Wandering Whistling Duck","Dendrocygna arcuata","(Horsfield, 1824)","OR, AU : Philippines to Australia","","",""
"262","262","","","    D. a. arcuata","(Horsfield, 1824)","Philippines to Indonesia","","",""
"263","263","","","    D. a. pygmaea","Mayr, 1945","New Britain I. (Bismarck Arch.)","","",""
"264","264","","","    D. a. australis","Reichenbach, 1850","s New Guinea and n, e Australia","","",""
"265","265","","Lesser Whistling Duck","Dendrocygna javanica","(Horsfield, 1821)","OR : widespread","","",""
"266","266","","","Thalassornis","Eyton, 1838","","","",""
"267","267","","White-backed Duck","Thalassornis leuconotus","Eyton, 1838","AF : widespread","","",""
"268","268","","","    T. l. leuconotus","Eyton, 1838","e Cameroon to s Ethiopia and South Africa","","",""
"269","269","","","    T. l. insularis","Richmond, 1897","Madagascar","","",""
"270","270","","","Cereopsis","Latham, 1801","","","",""
"271","271","","Cape Barren Goose","Cereopsis novaehollandiae","Latham, 1801","AU : s Australia","","",""
"272","272","","","    C. n. novaehollandiae","Latham, 1801","s Australia and Tasmania","","",""
"273","273","","","    C. n. grisea","(Vieillot, 1818)","Recherche Arch. (sw Australia)","","",""
"274","274","","","Branta","Scopoli, 1769","","PHY, SEQ","Sequence of true geese (Branta, Anser) follows Ottenburghs et al. (2016).",""
"275","275","","Brant Goose","Branta bernicla","(Linnaeus, 1758)","NA, EU : widespread","","",""
"276","276","","","    B. b. nigricans","(Lawrence, 1846)","ne Siberia, Alaska and nw Canada","","",""
"277","277","","","    B. b. bernicla","(Linnaeus, 1758)","nw, nc Russia","","",""
"278","278","","","    B. b. hrota","(Müller, OF, 1776)","ne Canada, Greenland and Spitzbergen","","",""
"279","279","","Red-breasted Goose","Branta ruficollis","(Pallas, 1769)","EU : nw Siberia","","",""
"280","280","","Nene","Branta sandvicensis","(Vigors, 1834)","PO : Hawaiian Is.","","",""
"281","281","","Canada Goose","Branta canadensis","(Linnaeus, 1758)","NA : widespread","","",""
"282","282","","","    B. c. occidentalis","(Baird, SF, 1858)","sw Alaska","","",""
"283","283","","","    B. c. fulva","Delacour, 1951","s Alaska (USA) and w British Columbia (Canada)","","",""
"284","284","","","    B. c. maxima","Delacour, 1951","sc Canada","","",""
